Description,TotalSalesDollars,ProfitMargin
.nparalleled Svgn Blanc,1094.6300000000003,29.978166138329865
10 Span Cab Svgn CC,2703.8899999999976,20.937612107001332
10 Span Chard CC,3325.5599999999995,27.80644462887456
10 Span Pnt Gris Monterey Cy,2082.2200000000007,32.226181671485286
10 Span Pnt Nr CC,2441.7399999999984,25.83608410395863
12 Days of Pearls Gift Set,309.6900000000001,97.67832348477509
13th Colony Sthrn Corn Whsky,359.82,42.44622311155579
14 Hands Moscato,798.1500000000004,28.512184426486282
14 Hands Red Blend Ltd,9570.419999999967,45.945945945945766
14 Hands Rsl Wash,531.4800000000002,22.781666290359038
1792 Full Proof Bourbon,3576.2099999999964,24.508627849035662
1792 Port Finish Bourbon,6998.249999999978,23.0807701925479
1792 Single Barrel Bourbon,2445.3899999999985,21.44852150372737
1792 Sweet Wheat Bourbon,3170.1099999999974,21.418815119979996
1800 Select Silver Tequila,2129.29,89.44577770054806
19 Crimes Warden Red,2823.869999999996,23.088173322426204
2 Copas Spain White,119.88,33.33333333333333
2 Gingers Irish Whiskey,321.86,40.887342322749014
20 Mile 09 Brdx Superior,1949.4800000000002,83.76900506801815
24 Knots Pnt Nr,9393.619999999917,47.989699391714346
3 Blind Moose Cab Svgn Cal,6344.469999999955,55.08025099023214
3 Blind Moose Chard Cal,6058.729999999953,50.89267882873108
3 Blind Moose Merlot Cal,6951.849999999943,56.142465674604225
3 Blind Moose Pnt Grigio Cal,7285.509999999932,56.37367871295177
4 Orange Vodka,483.78000000000003,85.90268303774444
44* North Huckleberry Vodka,1057.0300000000002,12.87664493912189
44* North Magic Valley Vodka,1349.4000000000003,53.84615384615387
900 Grapes Svgn Bl,59.94,32.43243243243243
A Bichot Adelie Mercury,815.7600000000001,72.03834461116014
A Bichot Ch Gris Nuits St Ge,648.89,93.73083265268383
A Bichot Chablis Vaucopins,1623.4400000000003,96.33001527620362
A Bichot Chard Bourgogne,7452.229999999951,19.433646036152368
A Bichot Clos Marechaudes,539.94,67.74086009556618
A Bichot Cremant Brut Rose,3402.2699999999927,15.9837402675271
A Bichot Merc Champs M,515.88,94.5529968209661
A Bichot Morgon Les Charmes,9209.11999999995,84.25701912886348
A Bichot Petit Chablis,8693.329999999962,33.81535038932119
A Bichot St-Amour Champlette,6804.389999999967,76.68813809908005
A Innocenti Nonni Cab Svgn,623.5200000000001,17.725173210161678
A Proper Pink,4442.57999999998,29.56120092378722
A by Acacia Red Cal,143.88,45.204336947456206
A to Z Rose,798.5300000000001,14.342604535834605
A to Z Rsl,1002.4100000000003,33.313713949382006
